Date,Open,High,Low,Close,AdjustedClose,Volume
2017-01-03,450.08,451.66,447.76,450.48,412.295,182733000
2017-01-04,451.24,453.5,451.22,453.16,414.748,157488800
2017-01-05,452.54,453.16,450.96,452.8,414.418,156758000
2017-01-06,453.06,455.5,451.8,454.42,415.901,143119800
2017-01-09,453.82,454.14,452.84,452.92,414.528,93879400
2017-01-10,452.96,454.9,452.02,452.92,414.528,127543800
2017-01-11,452.72,454.2,451.18,454.2,415.7,149300000
2017-01-12,453.0,453.5,449.92,453.06,414.656,144226400
2017-01-13,453.46,454.8,453.38,454.1,415.608,125435800
2017-01-17,452.62,453.56,451.6,452.5,414.144,122481600
2017-01-18,453.08,453.6,451.8,453.5,415.059,109586600
2017-01-19,453.68,454.0,450.82,451.82,413.522,133217600
2017-01-20,453.4,454.62,451.94,453.48,415.041,258337200
2017-01-23,453.48,453.62,450.54,452.3,413.961,150123200
2017-01-24,452.8,456.16,452.54,455.2,416.615,191110600
2017-01-25,457.4,459.14,457.02,459.14,420.221,168875400
2017-01-26,458.8,459.42,458.02,458.66,419.782,119941400
2017-01-27,458.84,459.18,457.52,457.94,419.123,119422200
2017-01-30,456.34,456.4,452.82,455.1,416.523,159474600
2017-01-31,453.96,455.2,452.64,455.06,416.487,151761600
2017-02-01,455.06,457.18,453.88,455.24,416.652,158235400
2017-02-02,455.24,456.2,453.64,455.54,416.926,139315200
2017-02-03,457.64,459.1,456.92,458.68,419.8,161126400
2017-02-06,457.74,458.66,457.08,457.86,419.05,115580200
2017-02-07,458.76,459.32,457.44,457.88,419.068,115862400
2017-02-08,457.88,458.78,456.62,458.48,419.617,103132400
2017-02-09,458.48,461.9,458.48,461.2,422.106,131910400
2017-02-10,462.0,463.54,461.24,463.02,423.772,132031800
2017-02-13,464.16,466.14,464.1,465.54,426.079,110364200
2017-02-14,465.12,467.42,464.32,467.4,427.781,142218000
2017-02-15,466.9,470.28,466.78,469.84,430.014,173571600
2017-02-16,469.9,470.32,467.7,469.44,429.648,169444800
2017-02-17,467.9,470.18,467.86,470.18,430.325,154408200
2017-02-21,471.04,473.38,471.02,472.98,432.888,177892200
2017-02-22,472.04,473.08,471.66,472.56,432.503,124230400
2017-02-23,473.76,473.8,471.12,472.88,432.796,149231800
2017-02-24,470.92,473.58,470.82,473.48,433.345,164763200
2017-02-27,473.28,474.62,472.7,474.22,434.023,113030800
2017-02-28,473.34,473.9,472.04,472.94,432.851,193923800
2017-03-01,476.78,480.64,476.74,479.56,438.91,298316400
2017-03-02,479.12,479.14,476.42,476.54,436.146,140492000
2017-03-03,476.34,477.22,475.46,476.84,436.421,163948600
2017-03-06,475.0,476.24,474.02,475.42,435.121,110783000
2017-03-07,474.72,475.54,473.52,474.0,433.821,130207400
2017-03-08,474.68,475.28,472.8,473.12,433.016,156337600
2017-03-09,473.4,474.48,471.48,473.72,433.565,181367800
2017-03-10,475.94,476.04,473.18,475.38,435.084,163983400
2017-03-13,475.24,475.72,474.48,475.62,435.304,114513600
2017-03-14,474.36,474.48,472.38,473.8,433.638,119761600
2017-03-15,475.12,478.88,474.58,477.9,437.391,192163600
2017-03-16,478.22,478.4,476.2,476.96,436.53,156688000
2017-03-17,475.5,475.94,474.06,474.06,435.764,178004200
2017-03-20,474.06,474.72,472.64,473.54,435.286,105074000
2017-03-21,474.94,475.22,467.16,467.46,429.697,263618600
2017-03-22,467.54,469.22,466.1,468.56,430.708,195138400
2017-03-23,468.56,470.68,467.2,468.06,430.249,200820600
2017-03-24,468.76,470.08,465.92,467.72,429.936,225009800
2017-03-27,463.86,467.84,463.22,467.24,429.495,174909000
2017-03-28,466.54,471.62,466.28,470.64,432.62,186967800
2017-03-29,469.98,471.62,469.46,471.08,433.025,123900800
2017-03-30,470.94,473.04,470.54,472.58,434.403,113475800
2017-03-31,471.8,473.02,471.36,471.48,433.392,147466200
2017-04-03,471.6,472.06,467.82,470.66,432.639,171093000
2017-04-04,470.0,471.16,469.12,470.96,432.914,112932400
2017-04-05,472.52,474.78,469.08,469.56,431.627,217601200
2017-04-06,469.88,472.08,468.86,470.88,432.841,138271600
2017-04-07,470.3,472.0,469.28,470.4,432.4,148824600
2017-04-10,470.72,472.52,469.46,470.68,432.657,135230600
2017-04-11,469.8,470.36,466.68,470.12,432.142,176090600
2017-04-12,469.48,469.92,467.54,468.06,430.249,163728800
2017-04-13,467.28,468.98,465.02,465.02,427.454,185760800
2017-04-17,466.22,469.14,465.76,469.14,431.241,136810800
2017-04-18,467.44,468.98,466.16,467.74,429.954,166451600
2017-04-19,469.04,469.9,466.36,466.88,429.164,137399800
2017-04-20,468.3,471.7,467.56,470.68,432.657,185144400
