Symbol,Date,Adjusted_price
MMM,2017-12-29,198.84085
MMM,2019-12-31,158.14842
MMM,2021-12-31,170.40469
MMM,2022-06-30,126.61288
MMM,2022-09-30,109.2211
MMM,2022-11-30,125.97
MMM,2022-12-30,119.92
AOS,2017-12-29,56.09538
AOS,2019-12-31,45.04146
AOS,2021-12-31,84.2685
AOS,2022-06-30,54.1125
AOS,2022-09-30,48.29919
AOS,2022-11-30,60.74
AOS,2022-12-30,57.24
ABT,2017-12-29,52.56474
ABT,2019-12-31,82.82043
ABT,2021-12-31,138.4173
ABT,2022-06-30,107.66122
ABT,2022-09-30,96.3056
ABT,2022-11-30,107.58
ABT,2022-12-30,109.79
ABBV,2017-12-29,76.6721
ABBV,2019-12-31,77.05365
ABBV,2021-12-31,130.32254
ABBV,2022-06-30,150.21217
ABBV,2022-09-30,132.85812
ABBV,2022-11-30,161.17999
ABBV,2022-12-30,161.61
ACN,2017-12-29,142.42929
ACN,2019-12-31,201.95755
ACN,2021-12-31,408.97064
ACN,2022-06-30,275.44101
ACN,2022-09-30,256.16086
ACN,2022-11-30,300.92999
ACN,2022-12-30,266.84
ATVI,2017-12-29,61.42066
ATVI,2019-12-31,58.40017
ATVI,2021-12-31,66.13688
ATVI,2022-06-30,77.86
ATVI,2022-09-30,74.34
ATVI,2022-11-30,73.95
ATVI,2022-12-30,76.55
ADM,2017-12-29,34.84541
ADM,2019-12-31,42.9577
ADM,2021-12-31,66.33099
ADM,2022-06-30,76.91191
ADM,2022-09-30,80.10867
ADM,2022-11-30,97.5
ADM,2022-12-30,92.85
ADBE,2017-12-29,175.24001
ADBE,2019-12-31,329.81
ADBE,2021-12-31,567.06
ADBE,2022-06-30,366.06
ADBE,2022-09-30,275.20001
ADBE,2022-11-30,344.92999
ADBE,2022-12-30,336.53
ADP,2017-12-29,105.7196
ADP,2019-12-31,160.29727
ADP,2021-12-31,241.97403
ADP,2022-06-30,208.12781
ADP,2022-09-30,225.09929
ADP,2022-11-30,262.8663
ADP,2022-12-30,238.86
AAP,2017-12-29,93.71779
AAP,2019-12-31,151.05016
AAP,2021-12-31,231.54367
AAP,2022-06-30,169.76926
AAP,2022-09-30,154.70532
AAP,2022-11-30,149.41127
AAP,2022-12-30,147.03
AES,2017-12-29,9.24102
AES,2019-12-31,18.26311
AES,2021-12-31,23.63421
AES,2022-06-30,20.73644
AES,2022-09-30,22.46505
