Symbol,SymbolYahoo,Closing Price,Market Cap,Beta,PE Ratio,EPS
MMM,MMM,119.92,66.285B,1.00,10.46,11.46
AOS,AOS,57.24,8.745B,1.23,18.23,3.14
ABT,ABT,109.79,191.427B,0.70,24.78,4.43
ABBV,ABBV,161.61,285.804B,0.67,21.55,7.50
ACN,ACN,266.84,168.175B,1.21,24.24,11.01
ATVI,ATVI,76.55,59.91B,0.49,35.94,2.13
ADM,ADM,92.85,51.006B,0.84,12.81,7.25
ADBE,ADBE,336.53,156.453B,1.26,33.42,10.07
ADP,ADP,238.86,99.086B,0.84,33.08,7.22
AAP,AAP,147.03,8.712B,1.19,18.85,7.80
AES,AES,28.76,19.21B,0.97,N/A,-0.22
AFL,AFL,71.94,44.732B,0.94,9.20,7.82
A,A,149.65,44.307B,1.08,35.80,4.18
APD,APD,308.26,68.43B,0.86,30.58,10.08
AKAM,AKAM,84.30,13.256B,0.71,27.11,3.11
ALK,ALK,42.94,5.446B,1.44,104.73,0.41
ALB,ALB,216.86,25.406B,1.40,16.44,13.19
ARE,ARE,145.67,23.903B,0.93,43.88,3.32
ALGN,ALGN,210.90,16.474B,1.65,32.80,6.43
ALLE,ALLE,105.98,9.31B,1.08,21.58,4.91
LNT,LNT,55.21,13.859B,0.50,20.76,2.66
ALL,ALL,135.60,35.962B,0.63,42.24,3.21
GOOGL,GOOGL,88.23,1.145T,1.06,17.07,5.17
GOOG,GOOG,88.73,1.145T,1.06,17.16,5.17
MO,MO,45.71,81.92B,0.68,17.79,2.57
AMZN,AMZN,84.00,856.943B,1.19,76.36,1.10
AMCR,AMCR,11.91,17.734B,0.86,21.27,0.56
AMD,AMD,64.77,104.433B,2.00,38.33,1.69
AEE,AEE,88.92,22.988B,0.43,22.29,3.99
AAL,AAL,12.72,8.267B,1.47,N/A,-3.67
AEP,AEP,94.95,48.791B,0.42,19.70,4.82
AXP,AXP,147.75,110.404B,1.14,14.82,9.97
AIG,AIG,63.24,46.986B,1.23,3.75,16.86
AMT,AMT,211.86,98.643B,0.54,33.68,6.29
AWK,AWK,152.42,27.714B,0.53,21.02,7.25
AMP,AMP,311.37,33.135B,1.47,12.96,24.02
ABC,ABC,165.71,33.486B,0.55,20.61,8.04
AME,AME,140.13,32.181B,1.24,28.66,4.89
AMGN,AMGN,262.64,140.139B,0.65,21.08,12.46
APH,APH,76.14,45.311B,1.25,25.72,2.96
ADI,ADI,164.03,83.54B,1.16,31.24,5.25
ANSS,ANSS,241.59,21.045B,1.27,45.58,5.30
AON,AON,300.14,62.085B,0.88,23.39,12.83
APA,APA,46.68,15.008B,3.66,4.42,10.57
AAPL,AAPL,129.93,2.067T,1.22,21.27,6.11
AMAT,AMAT,97.38,82.202B,1.55,13.09,7.44
APTV,APTV,93.13,25.234B,2.02,78.26,1.19
ACGL,ACGL,62.52,23.124B,0.79,19.85,3.15
ANET,ANET,121.35,37.291B,1.28,41.70,2.91
AJG,AJG,188.54,39.752B,0.69,37.26,5.06
AIZ,AIZ,124.57,6.581B,0.50,20.39,6.11
T,T,18.41,131.208B,0.72,7.61,2.42
ATO,ATO,112.07,15.804B,0.57,20.01,5.60
ADSK,ADSK,186.87,40.32B,1.47,66.50,2.81
AZO,AZO,2466.18,46.28B,0.75,20.72,119.04
AVB,AVB,161.52,22.596B,0.88,18.35,8.80
AVY,AVY,181.60,14.704B,0.99,18.36,9.89
BKR,BKR,29.53,29.78B,1.52,73.82,0.40
BALL,BALL,51.14,16.054B,0.70,17.22,2.97
BAC,BAC,33.12,265.703B,1.39,10.48,3.16
BBWI,BBWI,42.14,9.625B,1.70,11.09,3.80
